,Business title,zip,AM early,AM peak,Mid-day,PM peak,PM late,Type of Place,lat,lon,Total Score
2686,adams avenue grill,92116-1217,27,6,3,27,30,Only Drinks,32.762666499999995,-117.14109599999999,93
2687,marketplace grille mira mesa,92121-4379,7,28,25,35,25,Food & Drinks,32.9063461,-117.17358190000002,119
2688,loncheria internacional,92173-3114,7,28,25,35,25,Food & Drinks,32.5507933,-117.038169,119
2689,sunrise deli,92126-6310,7,28,25,35,25,Food & Drinks,32.8914405,-117.1509213,119
2690,international house of pancakes,92110-4910,27,6,3,27,30,Only Drinks,32.750168,-117.2121899,93
2691,rolberto's taco shop,92123-4412,3,25,20,18,5,Only Food,32.8108195,-117.1160164,70
2692,el pollo loco #3377,92154-1017,7,28,25,35,25,Food & Drinks,32.5834246,-117.10040740000001,119
2693,lestat's coffee house,92116-1821,7,28,25,35,25,Food & Drinks,32.7631652,-117.121972,119
2694,china chef,92037-5014,7,28,25,35,25,Food & Drinks,32.839369,-117.27674509999999,119
2695,hooters of san diego,92101-6933,27,6,3,27,30,Only Drinks,32.7117122,-117.16087069999999,93
2696,hooters of mission valley,92108-1512,27,6,3,27,30,Only Drinks,32.7690608,-117.15214350000001,93
2697,sunny's deli,92108-1747,7,28,25,35,25,Food & Drinks,32.779320299999995,-117.11781429999999,119
2698,karl strauss brewery & grill - la jolla,92037-4437,27,6,3,27,30,Only Drinks,32.847111600000005,-117.27359109999999,93
2699,cafe zucchero,92101-2517,27,6,3,27,30,Only Drinks,32.7234755,-117.1680953,93
2700,buster's beach house & longboard bar,92101-7706,27,6,3,27,30,Only Drinks,32.7086353,-117.1685138,93
2701,taco bell #5583,92128-4621,27,6,3,27,30,Only Drinks,32.979904100000006,-117.0799236,93
2702,in n out burgers #123,92110-4525,27,6,3,27,30,Only Drinks,32.7519403,-117.20532240000001,93
2703,kim chan sandwich,92115-4557,7,28,25,35,25,Food & Drinks,32.7565006,-117.09267340000002,119
2704,la fachada restaurant,92102-3907,7,28,25,35,25,Food & Drinks,32.7056061,-117.14059240000002,119
2705,el agave,92110-2896,27,6,3,27,30,Only Drinks,32.7496899,-117.19216850000001,93
2706,sapporo japanese restaurant,92107-3009,7,28,25,35,25,Food & Drinks,32.747221,-117.252173,119
2707,creative cafe & catering,92121-2200,27,6,3,27,30,Only Drinks,32.884694,-117.17006299999998,93
2708,international house of pancakes,92129-2929,7,28,25,35,25,Food & Drinks,32.9510948,-117.10674209999999,119
2709,the blvd,92115-1739,27,6,3,27,30,Only Drinks,32.7684065,-117.0480881,93
2710,starbucks coffee #5387,92037-4440,27,6,3,27,30,Only Drinks,32.842574600000006,-117.271895,93
2711,ristorante arrivederci,92103-3113,7,28,25,35,25,Food & Drinks,32.747799900000004,-117.16144109999999,119
2712,taste of thai,92014-1914,27,6,3,27,30,Only Drinks,32.9818065,-117.248535,93
2713,peets coffee and tea,92037-1964,3,25,20,18,5,Only Food,32.8695121,-117.23127530000001,70
2714,latitude 32,92109-1803,27,6,3,27,30,Only Drinks,32.806301,-117.2543527,93
2715,liz s cocina,92104-1428,7,28,25,35,25,Food & Drinks,32.7550561,-117.12051470000002,119
2716,red sea ethiopian restaurant,92105-1903,7,28,25,35,25,Food & Drinks,32.749369,-117.0929611,119
2717,dino's gyros inc,92117-2757,7,28,25,35,25,Food & Drinks,32.8297288,-117.20505659999999,119
2718,starbucks coffee # 5365,92117-2741,27,6,3,27,30,Only Drinks,32.829614,-117.20458149999999,93
2719,great happiness,92115,7,28,25,35,25,Food & Drinks,32.7685502,-117.0475279,119
2720,pf chang's china bistro,92122-1248,27,6,3,27,30,Only Drinks,32.8741628,-117.20928310000001,93
2721,mandarin wok,92117-5504,7,28,25,35,25,Food & Drinks,32.8112341,-117.19990770000001,119
2722,churchs chicken #1162,92114-2205,27,6,3,27,30,Only Drinks,32.7108588,-117.08552809999999,93
2723,churchs chicken #1255,92113-3732,27,6,3,27,30,Only Drinks,32.69280139999999,-117.1255101,93
2724,churchs chicken #780,92173-2723,27,6,3,27,30,Only Drinks,32.5505953,-117.03700729999998,93
2725,churchs chicken #1159,92154-3538,27,6,3,27,30,Only Drinks,32.5737489,-117.0536231,93
2726,churchs chicken #1212,92104-1546,27,6,3,27,30,Only Drinks,32.754987899999996,-117.11817679999999,93
2727,bronx pizza inc,92103,7,28,25,35,25,Food & Drinks,32.749656800000004,-117.1634597,119
2728,papa chitos mexican cafe,92122,7,28,25,35,25,Food & Drinks,32.853489,-117.203946,119
2729,eiberto's,92114-7311,7,28,25,35,25,Food & Drinks,32.7020837,-117.030556,119
2730,morton's of chicago-the steakhouse,92101-6828,27,6,3,27,30,Only Drinks,32.709155100000004,-117.16232109999999,93
2731,deli mart,92123-4458,7,28,25,35,25,Food & Drinks,32.8156654,-117.1176476,119
2732,camel's breath inn,92120,27,6,3,27,30,Only Drinks,32.7914634,-117.100748,93
2733,cafe viet,92115,7,28,25,35,25,Food & Drinks,32.7564547,-117.09151100000001,119
2734,california thai cafe,92126,7,28,25,35,25,Food & Drinks,32.8966234,-117.1239023,119
2735,taco fiesta #2,92139-3394,7,28,25,35,25,Food & Drinks,32.6769627,-117.03921570000001,119
2736,rudfords restaurant,92104-1205,27,6,3,27,30,Only Drinks,32.7556153,-117.1312061,93
2737,wendys old fashioned hamburger,92108-5502,7,28,25,35,25,Food & Drinks,32.7745543,-117.14648729999999,119
2738,pepes of ob,92107-3191,7,28,25,35,25,Food & Drinks,32.7437877,-117.2486672,119
2739,tavern at the beach the,92109-2912,27,6,3,27,30,Only Drinks,32.798476199999996,-117.2480707,93
2740,milindo nayarit,92113-3804,7,28,25,35,25,Food & Drinks,32.6870046,-117.1171209,119
2741,los primos mexican food,92128-2509,7,28,25,35,25,Food & Drinks,33.0171232,-117.0750277,119
2742,starbucks corp #5307,92123-2671,27,6,3,27,30,Only Drinks,32.8086563,-117.1152018,93
2743,starbucks coffee #5316,92101-6148,27,6,3,27,30,Only Drinks,32.7141629,-117.1624403,93
2744,princess pub & grille,92101,27,6,3,27,30,Only Drinks,32.722822,-117.16802959999998,93
2745,kensington club,92116-2505,27,6,3,27,30,Only Drinks,32.763008500000005,-117.1076932,93
2746,san diego sandwich company inc,92123-2239,7,28,25,35,25,Food & Drinks,32.803994800000005,-117.1395781,119
2747,milo's pizza & subs inc,92115,7,28,25,35,25,Food & Drinks,32.768409399999996,-117.0549709,119
2748,meechai thai cuisine,92106-2030,7,28,25,35,25,Food & Drinks,32.7296337,-117.24198249999999,119
2749,litl peppers goumet delicatusen,92123-1412,7,28,25,35,25,Food & Drinks,32.8297333,-117.13532820000002,119
2750,el mundo del tango,92109-5718,7,28,25,35,25,Food & Drinks,32.8036824,-117.21403559999999,119
2751,blue point coastal cuisine,92101-6913,27,6,3,27,30,Only Drinks,32.711284,-117.159825,93
2752,passage to india,92128-2523,7,28,25,35,25,Food & Drinks,33.0116716,-117.07852749999999,119
2753,ruths chris steak house #19,92101-3321,27,6,3,27,30,Only Drinks,32.7193387,-117.1725047,93
2754,mcgregors grill and ale house,92108-2101,27,6,3,27,30,Only Drinks,32.7844414,-117.11104740000002,93
2755,little caesars pizza,92117-4970,27,6,3,27,30,Only Drinks,32.8215613,-117.18363259999998,93
2756,catalanos pizzaria,92102-4128,7,28,25,35,25,Food & Drinks,32.7065554,-117.12941770000002,119
2757,rockin baja lobster,92110,27,6,3,27,30,Only Drinks,32.7519011,-117.1971277,93
2758,rosie o'gradys inc,92116-2428,27,6,3,27,30,Only Drinks,32.7634988,-117.1205408,93
2759,panda express #358,92101-6150,7,28,25,35,25,Food & Drinks,32.7136302,-117.1612808,119
2760,linda's donuts,92109-4503,7,28,25,35,25,Food & Drinks,32.7992302,-117.23490670000001,119
2761,brueggers bagels,92109-3363,27,6,3,27,30,Only Drinks,32.801196000000004,-117.23570190000001,93
2762,el pollo loco restaurant,92120-3401,7,28,25,35,25,Food & Drinks,32.7858888,-117.09742539999999,119
2763,mcdonalds,92154-1714,7,28,25,35,25,Food & Drinks,32.5841524,-117.0396923,119
2764,sam woo bbq restaurant,92111-1124,27,6,3,27,30,Only Drinks,32.8336074,-117.16080840000001,93
2765,rubios fresh mexican grill,92037-1924,7,28,25,35,25,Food & Drinks,32.8693947,-117.23183429999999,119
2766,victor's kafe,92127-2322,7,28,25,35,25,Food & Drinks,33.0048168,-117.09112959999999,119
